virus,realm,locus_tag,host,type,shape,corr,p.value
Pseudomonas phage PspYZU05,Duplodnaviria,KNT64,bacteria,DNA,linear,-0.524313267095266,2.68820924919256e-05
Milk vetch dwarf C10 alphasatellite,Alphasatellitidae,MDVs10gp1,land plants,DNA,circular,-0.505774728416238,0.000118683734723314
Stipagrostis associaed virus,unclassified viruses,EXJ34,land plants,DNA,circular,-0.56271186440678,5.24793215272028e-06
Salmonella phage IKe,Monodnaviria,Ike,bacteria,DNA,circular,-0.442615890984035,0.000570010057589813
Gordonia phage SmokingBunny,Duplodnaviria,KNU53,bacteria,DNA,linear,0.48562244301578,0.000117796998856646
Dishui lake phycodnavirus 1,NA,C5Y57,NA,DNA,linear,0.123728813559322,0.349539013127219
Spiranthes mosaic virus 3,Riboviria,FK908,land plants,RNA,linear,-0.404103479036575,0.0017942041356054
Mycobacterium phage Pipefish,Duplodnaviria,Pipefishp1,bacteria,DNA,linear,0.499766218585623,6.99348475320983e-05
Ceratocystis polonica partitivirus,Riboviria,CPPV,fungi,RNA,linear,-0.441877633886001,0.000583379635134644
Tioga picorna-like virus 1,Riboviria,CNQ89,vertebrates,RNA,linear,-0.141203974284044,0.285258685604611
Beihai picorna-like virus 2,Riboviria,BVK08,invertebrates,RNA,linear,-0.533298471192593,2.20612150973768e-05
Beihai picorna-like virus 90,Riboviria,BVJ83,invertebrates,RNA,linear,-0.490707188778492,9.78981228790711e-05
Escherichia phage Phi1,Duplodnaviria,phi1p,bacteria,DNA,linear,-0.467738164815897,0.000221167444538346
Escherichia phage PE3-1,Duplodnaviria,PE3,bacteria,DNA,linear,-0.152951490356517,0.246756424312336
Pleurochrysis carterae circular virus,Monodnaviria,C1181,eukaryotic algae,DNA,circular,0.0814104226082448,0.546165921455773
Tamana bat virus,Riboviria,TABVgp1,vertebrates,RNA,linear,-0.487843366452367,0.000108686955867216
Beihai rhabdo-like virus 3,Riboviria,FLA27,invertebrates,RNA,linear,-0.428988895382817,0.0007795027472016
Trichoplusia ni single nucleopolyhedrovirus,Naldaviricetes,TNSV,invertebrates,DNA,circular,-0.397253068381064,0.0019813578223184
Plantago asiatica mosaic virus,Riboviria,PlAMVgp,land plants,RNA,linear,0.310461718293396,0.0170502798401743
human papillomavirus 103,Monodnaviria,HPV103,human,DNA,circular,-0.545295149035652,1.12483409441831e-05
Gordonia phage Sadboi,Duplodnaviria,HWC71,bacteria,DNA,linear,0.438807714786675,0.000573910403530258
Xinzhou nematode virus 7,Riboviria,B1U12,invertebrates,RNA,linear,-0.222384570426651,0.0905143623984244
Clitoria virus Y,Riboviria,FK889,land plants,RNA,linear,-0.43492571287951,0.000723994715250383
Mycobacterium phage Chy4,Duplodnaviria,M179,bacteria,DNA,linear,0.511089236826725,5.29446620437309e-05
Boolarra virus,Riboviria,BoV,invertebrates,RNA,linear,-0.411513734658095,0.00131660371540647
Staphylococcus phage StB27,Duplodnaviria,G175,bacteria,DNA,linear,-0.542957334891876,1.2426464186925e-05
Paenibacillus phage Likha,Duplodnaviria,HWB48,bacteria,DNA,linear,-0.486557568673291,0.000113878695776054
Streptomyces phage Bmoc,Duplodnaviria,KNV00,bacteria,DNA,linear,-0.112682641729982,0.394477586839033
Caretta caretta papillomavirus 1,Monodnaviria,CarettaPV1,vertebrates,DNA,circular,-0.460140268848627,0.000286288015330013
Staphylococcus phage SP120,Duplodnaviria,KMD10,bacteria,DNA,circular,-0.548100526008182,9.97261777106836e-06
Coleus vein necrosis virus,Riboviria,CVNV,land plants,RNA,linear,-0.426884862653419,0.000831439912813587
Niminivirus,Monodnaviria,DF43,vertebrates,DNA,circular,-0.493161893629457,8.94462333096769e-05
Halomonas phage phiHAP-1,Duplodnaviria,HAPgp,bacteria,DNA,linear,0.298889538281707,0.0218271878833321
Mycobacterium phage First,Duplodnaviria,First,bacteria,DNA,linear,0.506779661016949,5.35782167762831e-05
Escherichia phage vB vPM PD112,NA,KMC20,NA,NA,NA,-0.548918760958504,9.62687174260677e-06
Wenling tombus-like virus 2,Riboviria,BWT25,invertebrates,RNA,linear,-0.508007013442431,5.11095380485827e-05
Hubei picorna-like virus 78,Riboviria,BWR76,invertebrates,RNA,linear,-0.507305669199299,5.25069926761723e-05
Mallard associated gemycircularvirus 1,Monodnaviria,QU78,vertebrates,DNA,circular,-0.27895967270602,0.0327273869415753
White clover mottle virus,Riboviria,BMI92,land plants,RNA,linear,-0.522852133255406,2.85097874687515e-05
Enterobacteria phage phiJLA23,Duplodnaviria,HOQ90,bacteria,DNA,linear,-0.410461718293396,0.00135768613408752
Pantoea phage vB PagM SSEM1,NA,HWD31,NA,NA,NA,-0.450029222676797,0.000400174688622308
Stx2-converting phage 86,Duplodnaviria,Stx2,bacteria,DNA,circular,-0.361776738749269,0.0051063535156588
Wuhan spider virus 9,Riboviria,B1T63,invertebrates,RNA,linear,-0.454880187025132,0.000341185915271219
Staphylococcus phage SAP-2,Duplodnaviria,SAP2,bacteria,DNA,linear,-0.494915254237288,8.38272517841549e-05
Enterococcus phage EfaCPT1,Duplodnaviria,EfaCPT1,bacteria,DNA,circular,-0.500876680303916,6.70697687505989e-05
Escherichia phage G4,Monodnaviria,G4p03,bacteria,DNA,circular,-0.302045587375804,0.0204231276848194
Holosalinivirus M1EM1,Duplodnaviria,FGG70,bacteria,NA,NA,0.411572180011689,0.0013143545913058
Cowpea chlorotic mottle virus,Riboviria,CCMV,land plants,RNA,linear,-0.498947983635301,7.2117902419445e-05
Wenzhou narna-like virus 9,Riboviria,BWT02,invertebrates,RNA,linear,-0.414494447691409,0.00120622192419666
Fur seal faeces associated circular DNA virus,Monodnaviria,DJ35,vertebrates,DNA,circular,-0.461309175920514,0.000275243519230144
Wenzhou picorna-like virus 28,NA,BWS81,NA,RNA,linear,-0.448100526008182,0.000426109842088058
Torque teno virus 29,NA,D1P72,NA,DNA,linear,-0.179427235534775,0.173483670854798
Pseudomonas phage phiIBB-PF7A,Duplodnaviria,phiIBB,bacteria,DNA,linear,0.228053769725307,0.0824366645883948
Streptomyces phage Sentinel,NA,KGG73,NA,DNA,linear,0.458620689655173,0.000301252227034244
Beihai sobemo-like virus 9,Riboviria,BWU86,invertebrates,RNA,linear,0.187258912916423,0.155228842302173
Fathead minnow nidovirus,Riboviria,D1P22,vertebrates,RNA,linear,-0.322618351841029,0.0130279427895595
Paenibacillus phage Wanderer,Duplodnaviria,KMC73,bacteria,DNA,linear,-0.449970777323203,0.000400938941930175
Gordonia Phage Barsten,Duplodnaviria,KNV14,bacteria,DNA,linear,0.486674459380479,0.000113397444537934
Clostridium phage CpV1,Duplodnaviria,HWA85,bacteria,DNA,linear,-0.566889169153158,5.27315166009166e-06
Corynebacterium phage BFK20,Duplodnaviria,BFK20,bacteria,DNA,linear,0.0678550555230859,0.608720106683064
Lactococcus phage 62503,Duplodnaviria,H1N75,bacteria,DNA,linear,-0.563939216832262,4.96668692570735e-06
Mycobacterium phage Phelemich,Duplodnaviria,N847,bacteria,DNA,linear,0.55219170075979,8.35306612482448e-06
Lactococcus phage 16W23,Duplodnaviria,HYP00,bacteria,DNA,linear,-0.557977790765634,6.47932091950077e-06
Escherichia phage HP3,Duplodnaviria,FDH36,bacteria,DNA,circular,-0.548042080654588,9.99775367160299e-06
Staphylococcus phage P4W,Duplodnaviria,HOQ76,bacteria,DNA,linear,-0.537872589129164,1.53984349620264e-05
Ralstonia phage Simangalove,Duplodnaviria,KMC38,bacteria,DNA,linear,0.404617182933957,0.00160770469949729
Synechococcus phage S-P4,Duplodnaviria,HOU57,bacteria,DNA,linear,-0.461718293395675,0.000271471061530766
Cronobacter phage CS01,Duplodnaviria,HOU43,bacteria,DNA,linear,-0.136294564582116,0.302469191637814
Miniopterus schreibersii polyomavirus 2,Monodnaviria,B5Z32,vertebrates,DNA,circular,-0.471654003506721,0.000220092136529441
Tomato leaf curl Oman virus,Monodnaviria,TLCOV,land plants,DNA,circular,-0.440853302162478,0.000537860796411628
Escherichia phage SF,Duplodnaviria,KNT93,bacteria,DNA,linear,-0.517533606078317,3.52405977925906e-05
Rhizoctonia mitovirus 1,Riboviria,EXJ16,fungi,RNA,linear,-0.45933014354067,0.000426068640459463
Sulfolobus turreted icosahedral virus 1,Varidnaviria,NA,archaea,DNA,circular,-0.52969023962595,2.16073150630142e-05
Mesta yellow vein mosaic virus,Monodnaviria,MYVMV,land plants,DNA,circular,-0.378901227352426,0.00327286814626985
Citrus chlorotic dwarf associated virus,Monodnaviria,B359,land plants,DNA,circular,-0.452483927527762,0.0003692518146245
Banana streak MY virus,Riboviria,BSMysV,land plants,DNA,circular,-0.337463471654004,0.00925179101061766
Sulfolobus virus STSV2,Bicaudaviridae,STSV2,archaea,DNA,linear,-0.576095850379895,2.85067461798033e-06
Honeysuckle yellow vein mosaic virus,Monodnaviria,HYVMVgp,land plants,DNA,circular,-0.411572180011689,0.0013143545913058
Indian citrus ringspot virus,Riboviria,Icrvgp,land plants,RNA,linear,-0.0461133839859731,0.728103707843389
Aplysia californica nido-like virus,NA,EXK66,NA,RNA,linear,-0.502045587375804,6.41714465554103e-05
Hubei picorna-like virus 20,Riboviria,BWR73,invertebrates,RNA,linear,-0.510052600818235,4.7227969467482e-05
Zinnia leaf curl virus-associated DNA beta,Tolecusatellitidae,ZLCVDBp1,land plants,DNA,circular,-0.184189723320158,0.225042595719134
Pectobacterium phage PP99,Duplodnaviria,HOR53,bacteria,DNA,linear,-0.413150204558738,0.00125492336697436
Siegesbeckia yellow vein betasatellite,Tolecusatellitidae,D1S11,land plants,DNA,circular,-0.548965970018601,0.000442848441443652
Hubei sobemo-like virus 5,Riboviria,BVB04,invertebrates,RNA,linear,-0.291700759789597,0.0253350621920346
Dragonfly associated cyclovirus 6,Monodnaviria,D1Q31,invertebrates,DNA,circular,-0.495149035651666,8.31031899463318e-05
Ingwavuma virus,Riboviria,FLA99,human:vertebrates,RNA,linear,-0.483693746347165,0.000126273667908661
Faeces associated gemycircularvirus 11,Monodnaviria,QU88,vertebrates,DNA,circular,-0.117475160724722,0.374574949764795
Hubei virga-like virus 11,Riboviria,BWU57,invertebrates,RNA,linear,-0.520631209818819,3.11601969707928e-05
Botrytis cinerea betaendornavirus 1,Riboviria,BMR75,fungi,RNA,linear,-0.565634132086499,4.60155770175782e-06
Beihai sipunculid worm virus 1,Riboviria,BVK80,invertebrates,RNA,linear,-0.443191116306254,0.000499193782136505
Escherichia phage vB EcoS PHB17,NA,KMB84,NA,NA,NA,-0.301694915254237,0.0205752252163665
Magnaporthe oryzae chrysovirus 1,Riboviria,MOCV1,fungi,RNA,linear,0.173115137346581,0.189303620591658
PoSCV Kor J481,Monodnaviria,FD56,vertebrates,DNA,circular,0.0282603059372569,0.834358304429684
Klebsiella phage vB KpnS ZX4,NA,KGB54,NA,NA,NA,-0.395967270601987,0.00205406039497761
Mycobacterium phage HyRo,Duplodnaviria,HYRO,bacteria,DNA,linear,0.480654587960257,0.000140777143131549
Tuber aestivum mitovirus,Riboviria,TuAMV,fungi,RNA,linear,-0.57845508788905,8.58738301111369e-06
Sweet clover necrotic mosaic virus,NA,SCNMV,NA,RNA,linear,-0.229105786090006,0.0810027123690251
Porcine circovirus 3,Monodnaviria,BMR83,vertebrates,DNA,circular,-0.173481344434166,0.248048665908495
Odonata-associated circular virus-9,unclassified viruses,EXI76,invertebrates,DNA,circular,-0.523842195540309,6.1949184871383e-05
Mycobacterium phage Nhonho,Duplodnaviria,NHONHO,bacteria,DNA,linear,0.48801870251315,0.000107996146917979
Changjiang tombus-like virus 1,Riboviria,BWV88,invertebrates,RNA,linear,-0.426125073056692,0.000850952848820135
Arachis pintoi virus,Riboviria,BTU57,land plants,RNA,linear,-0.085739333722969,0.517494072924389
Wuhan insect virus 10,Riboviria,BZJ94,invertebrates,RNA,linear,-0.479713310160263,0.000166618400919982
Cyanophage KBS-S-2A,Duplodnaviria,CPKG,bacteria,DNA,linear,-0.31583869082408,0.0151557901966501
Pseudomonas phage vB PaeM C1-14 Ab28,NA,VC50,NA,NA,NA,0.179836353009936,0.172492777292521
Halovirus HCTV-2,unclassified viruses,M201,archaea,DNA,linear,0.438690824079486,0.000576035301183771
Gordonia phage GTE6,Duplodnaviria,AU100,bacteria,DNA,linear,0.504324956165985,5.88501340187338e-05
Cotton leaf curl Bangalore virus,Monodnaviria,CLCuBVp,land plants,DNA,circular,-0.370894213909994,0.00404070571960684
Chicken associated smacovirus,Monodnaviria,BWS34,vertebrates,DNA,circular,-0.427703097603741,0.000810880423500126
Peduovirus L413C,Duplodnaviria,L,bacteria,NA,NA,-0.0615429573348919,0.642510958464439
Mycobacterium phage Kenuha5,Duplodnaviria,I5H51,bacteria,DNA,linear,0.437171244886032,0.000604318037778733
Chaetoceros protobacilladnavirus 4,Monodnaviria,ChTDV,eukaryotic algae,DNA,circular,-0.459029807130333,0.000297154546143039
Lepus americanus faeces associated microvirus SHP1 6472,NA,EXH88,NA,DNA,circular,-0.364545202866898,0.00514309959091399
Tomato leaf curl Bangalore virus,Monodnaviria,ToLCBVgp,land plants,DNA,circular,-0.432787843366452,0.000693123277027451
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,Monodnaviria,AMR04,invertebrates,NA,NA,0.0166569257744009,0.900212805209179
Saimiriine gammaherpesvirus 2,Duplodnaviria,SaHV2gp,vertebrates,DNA,linear,-0.527118644067797,2.39965330817163e-05
Plumeria mosaic virus,Riboviria,XM14,land plants,RNA,linear,-0.519637638807715,3.24185252177986e-05
Rodent Torque teno virus 2,Anelloviridae,SC24,vertebrates,DNA,circular,-0.360177181703528,0.00573565396966634
Vibrio phage VEN,Duplodnaviria,HOS56,bacteria,DNA,linear,-0.459146697837522,0.000295993183969547
Pseudomonas phage R26,Duplodnaviria,NA,bacteria,DNA,linear,0.191057860900058,0.146906656457316
Mycobacterium phage Ogopogo,Duplodnaviria,I5H72,bacteria,DNA,linear,0.397720631209819,0.001955498673649
Miniopterus schreibersii picornavirus 1,Riboviria,B9W66,vertebrates,RNA,linear,-0.338690824079486,0.00898746442085315
Pseudomonas phage LMA2,Duplodnaviria,LMA2,bacteria,DNA,linear,0.238573933372297,0.0689714378009294
Beihai zhaovirus-like virus 2,Riboviria,BWV62,invertebrates,RNA,linear,-0.510286382232613,4.68022019870939e-05
Aichi virus 1,Riboviria,AiV,human:vertebrates,RNA,linear,0.253068381063705,0.053378999745075
Japanese encephalitis virus,Riboviria,JEVgp,human:invertebrates:vertebrates,RNA,linear,-0.241905318527177,0.0650973063321501
Rhizoctonia solani dsRNA virus 4,Riboviria,F2P96,fungi,RNA,linear,-0.0601987142022209,0.649804957076856
Lake Sarah-associated circular virus-6,NA,A0R99,NA,DNA,circular,-0.458280922431866,0.000563655433225202
Klebsiella phage ST147-VIM1phi7.1,Duplodnaviria,HYP80,bacteria,DNA,linear,-0.0183518410286382,0.890101544751173
Thika virus,unclassified viruses,ABY35,invertebrates,RNA,linear,-0.514143775569842,4.02711956363873e-05
Hypericum japonicum associated circular DNA virus,Monodnaviria,D1R01,land plants,DNA,circular,-0.00578609000584454,0.965373425454297
Kafue kinda chacma baboon virus,Riboviria,AXF39,vertebrates,RNA,linear,-0.134774985388662,0.307930621700555
Wuhan pillworm virus 2,Riboviria,B1T72,invertebrates,RNA,linear,-0.508357685563998,5.04238052473087e-05
Streptomyces phage Joe,Duplodnaviria,KGG94,bacteria,DNA,linear,0.4161995898838,0.00155257360210697
Sugarcane chlorotic streak virus,Monodnaviria,BS327,land plants,DNA,circular,-0.258328462887201,0.0484887093465092
Porcine associated porprismacovirus 9,Monodnaviria,KW76,vertebrates,DNA,circular,-0.454181918853241,0.000393865469467537
Mycobacterium phage BigPaolini,Duplodnaviria,JMN50,bacteria,DNA,linear,0.479368790181181,0.000147362502804648
Roseobacter phage SIO1,Duplodnaviria,SIO1p,bacteria,DNA,linear,-0.289772063120982,0.0263536752497207
Qalyub orthonairovirus,Riboviria,CA767,invertebrates:vertebrates,RNA,linear,-0.446405610753945,0.000450157546106865
Changjiang picorna-like virus 1,Riboviria,BVA95,invertebrates,RNA,linear,-0.0539450613676213,0.684162744483983
Mycobacterium phage Gizmo,Duplodnaviria,M181,bacteria,DNA,circular,0.465166569257744,0.000241506155051444
Escherichia phage vB EcoM NBG2,NA,KMC17,NA,NA,NA,-0.544126241963764,1.18236850660679e-05
Reston ebolavirus,Riboviria,REBOVgp,human:vertebrates,RNA,linear,-0.476271186440678,0.000164407606318492
Escherichia phage ID52,Monodnaviria,CIV52,bacteria,DNA,circular,-0.329573348918761,0.0111188083750082
Okra mosaic virus,NA,OkMV,NA,RNA,linear,0.155230859146698,0.239720334565807
Plasmavirus L2,Plasmaviridae,L2,bacteria,NA,NA,-0.524808514565197,3.10303135620104e-05
Vibrio phage 1.224.A. 10N.261.48.B1,NA,HOU79,NA,NA,NA,-0.412624196376388,0.00127445862822886
Mycobacterium phage CASbig,Duplodnaviria,JMN56,bacteria,DNA,linear,0.471654003506721,0.000193198063296893
Lactococcus phage LP0209,Duplodnaviria,HYP49,bacteria,DNA,linear,-0.557042665108124,6.75266418121227e-06
Staphylococcus phage Staph1N,Duplodnaviria,HOQ71,bacteria,DNA,linear,-0.541613091759205,1.31551410883295e-05
Klebsiella phage JD18,Duplodnaviria,AU097,bacteria,DNA,linear,-0.520806545879603,3.0942907435371e-05
Lake Sarah-associated circular virus-43,unclassified viruses,A0S25,invertebrates,DNA,circular,-0.148789565966348,0.264204428779697
Lactococcus phage 936 group phage Phi109,Duplodnaviria,HYO87,bacteria,DNA,linear,-0.550905902980713,8.83337984420445e-06
Sclerophthora macrospora virus A,NA,SMVA,NA,RNA,linear,-0.364231443600234,0.00479743001298338
Enterovirus AN12,Riboviria,B1U08,vertebrates,RNA,linear,-0.14500292226768,0.272395298788784
Bat Middle East Hepe-Astrovirus,Riboviria,DP162,vertebrates,RNA,linear,0.206779661016949,0.11598860496667
Potato yellow dwarf nucleorhabdovirus,Riboviria,PoYDV,land plants,RNA,linear,-0.457977790765634,0.0003077959975526
Stenotrophomonas phage vB SmaS-DLP 2,NA,AVU20,NA,NA,NA,0.00724722384570427,0.956592598414579
Honeysuckle yellow vein Kagoshima virus,NA,HYVMVK,NA,DNA,circular,-0.384453535943893,0.00281967428561733
Epiphyllum virus 4,NA,KM744,NA,DNA,circular,-0.489596727060199,0.000101958524621874
Gordonia phage Chikenjars,Duplodnaviria,HWC66,bacteria,DNA,linear,0.0661016949152542,0.618028664902203
Porcine stool-associated circular virus 4,Monodnaviria,DJ28,vertebrates,DNA,circular,-0.306779661016949,0.0184619434244277
Staphylococcus phage SP5,Duplodnaviria,KMC65,bacteria,DNA,linear,-0.560374050263004,5.82556577893955e-06
Changjiang picorna-like virus 11,Riboviria,BWV45,invertebrates,RNA,linear,-0.477673874926943,0.000156476294263944
Mamastrovirus 14,Riboviria,FK845,vertebrates,RNA,linear,-0.34021040327294,0.00866936472774771
Enterobacteria phage RB51,Duplodnaviria,RB51ORF,bacteria,DNA,linear,-0.547223845704267,1.03559439394767e-05
Pseudomonas phage vB Pae-SS2019XI,NA,JT355,NA,NA,NA,0.420981881940386,0.000994331988107647
Salmonella phage PVPSE1,Duplodnaviria,PVP,bacteria,DNA,linear,-0.415429573348919,0.00117335630456326
Kotonkan virus,Riboviria,YYW,invertebrates: vertebrates,RNA,linear,-0.500467562828755,6.81124524182999e-05
Red-crowned crane parvovirus,Monodnaviria,EXJ56,vertebrates,DNA,linear,-0.00701344243132671,0.957997211008015
Hubei sobemo-like virus 45,Riboviria,BVB09,invertebrates,RNA,linear,-0.349035651665693,0.00700948692347619
Spodoptera frugiperda ascovirus 1a,Varidnaviria,SfAV1a,invertebrates,DNA,circular,-0.0447106954997078,0.736072041323264
Gigaspora margarita mitovirus 3,Riboviria,EXJ12,fungi,RNA,linear,-0.405610753945061,0.00156247738101825
Titi monkey adenovirus ECC-2011,NA,L660,NA,DNA,linear,0.385914669783752,0.00271013663644989
Spodoptera litura nucleopolyhedrovirus II,NA,SlnV2,NA,DNA,circular,-0.0344827586206897,0.794968217204223
Beihai picorna-like virus 9,Riboviria,BVJ84,invertebrates,RNA,linear,-0.507247223845704,5.26250303272513e-05
Bowe virus,Riboviria,CAB99,vertebrates,RNA,linear,-0.501227352425482,6.6187808465398e-05
HCBI8.215 virus,NA,JM55,NA,DNA,circular,-0.171798578855086,0.196694496413321
Goose adenovirus 4,Varidnaviria,A326,vertebrates,DNA,linear,-0.492051431911163,9.31826087248371e-05
Klebsiella phage vB KpnS KpV522,NA,HOR35,NA,NA,NA,-0.0413208649912332,0.755442612533977
Swine enteric coronavirus,Riboviria,AVT88,vertebrates,RNA,linear,-0.526651081239042,2.44565182682474e-05
Vibrio phage 1.245.O. 10N.261.54.C7,NA,KNT80,NA,NA,NA,-0.477264757451783,0.000158752461773528
Staphylococcus phage phiSA12,Duplodnaviria,CF75,bacteria,DNA,linear,-0.526241963763881,2.48657240133986e-05
Tomato leaf curl Arusha virus,Monodnaviria,TLCAV,land plants,DNA,circular,-0.448392752776154,0.000422084174789465
Pseudomonas phage CHA P1,NA,X837,NA,NA,NA,0.306721215663355,0.018485134669201
Prochlorococcus phage P-SSM2,Duplodnaviria,PSSM2,bacteria,DNA,linear,-0.555873758036236,7.10957929639721e-06
Escherichia phage WA45,Monodnaviria,CWV45,bacteria,DNA,circular,-0.356750438340152,0.00579429702261105
Citrobacter phage vB CfrM CfP1,NA,BI032,NA,NA,NA,-0.398947983635301,0.00188905378584323
Mycobacterium phage Euphoria,Duplodnaviria,CL80,bacteria,DNA,linear,0.497662185856225,7.56760042933541e-05
Human bocavirus 4 NI,Monodnaviria,HBoV4,human:vertebrates,DNA,linear,-0.529807130333139,2.15041676879201e-05
Bruynoghevirus LUZ24,Duplodnaviria,PPLUZ24,bacteria,NA,NA,0.0566335476329632,0.669308366335528
Hubei picorna-like virus 18,Riboviria,BWR75,invertebrates,RNA,linear,-0.487551139684395,0.0001098473617393
Flavobacterium phage vB FspS sniff9-1,NA,HWC95,NA,NA,NA,-0.574926943308007,3.00927218716067e-06
Hubei picorna-like virus 51,Riboviria,BWS04,invertebrates,RNA,linear,-0.56572026208127,5.5547080806206e-06
Oenococcus phage phiS11,Duplodnaviria,CF81,bacteria,DNA,linear,-0.503039158386908,6.17994268903825e-05
Ageratum yellow vein alphasatellite,Alphasatellitidae,BZL60,land plants,DNA,circular,-0.344550739795134,0.00837755148983017
Potato apical leaf curl disease-associated satellite DNA beta,Tolecusatellitidae,PALCDSDBV,land plants,DNA,circular,-0.22810145044972,0.145941469548709
Torque teno midi virus 7,Anelloviridae,D1P82,human,DNA,circular,-0.456322624743677,0.000468711804716188
Lactococcus phage LP8511,Duplodnaviria,HYP43,bacteria,DNA,linear,-0.547983635300994,1.00229488905514e-05
Gordonia phage BaxterFox,Duplodnaviria,SEA,bacteria,DNA,linear,0.491700759789597,9.4392107182865e-05
Sogatella furcifera hepe-like virus,NA,EXK65,NA,RNA,linear,0.181589713617767,0.168293049272382
Grapevine associated narnavirus-1,Riboviria,AT153,fungi,RNA,linear,-0.565105047832908,5.70851693062706e-06
Capreolus capreolus papillomavirus 1,Monodnaviria,CacaPV1,vertebrates,DNA,linear,-0.54021040327294,1.39579468069514e-05
Trichoplusia ni ascovirus 2c,Varidnaviria,TNAV2c,invertebrates,DNA,circular,-0.533664523670368,1.83467956297596e-05
Infectious spleen and kidney necrosis virus,Varidnaviria,Isaknvgp,human:vertebrates,DNA,linear,0.0286966686148451,0.828825267177126
Gaunavirus SRT01hs,Duplodnaviria,H3022,bacteria,NA,NA,-0.52443938601618,3.14881975116023e-05
Hubei sobemo-like virus 29,Riboviria,BVB25,invertebrates,RNA,linear,-0.280479251899474,0.0317602678375947
Pantoea phage vB PagM AAM37,NA,HWC22,NA,NA,NA,-0.0127995324371712,0.923281372504746
Ageratum yellow vein Hualian virus,Monodnaviria,AYVHV,land plants,DNA,linear,-0.468965517241379,0.000212025089490047
Lactobacillus phage Ld25A,Duplodnaviria,LDB25A,bacteria,DNA,linear,-0.40333138515488,0.00166798187990158
Iris severe mosaic virus,Riboviria,AXI93,land plants,RNA,linear,-0.505669199298656,5.59064754916435e-05
Chimpanzee faeces associated microphage 3,NA,BBV77,NA,DNA,circular,-0.300501399612415,0.0222662053498712
Allpahuayo mammarenavirus,Riboviria,Allpahuayo,vertebrates,RNA,linear,-0.479310344827586,0.000147668463885327
Streptomyces phage phiCAM,Duplodnaviria,FDG66,bacteria,DNA,circular,0.464148389676705,0.000283607157411467
Pseudomonas phage PAK P2,NA,X831,NA,NA,NA,-0.102454704850964,0.438994344821001
Gordonia phage JSwag,Duplodnaviria,BIZ70,bacteria,DNA,linear,0.507656341320865,5.18039008233858e-05
Acipenserid herpesvirus 2,NA,FK796,NA,DNA,linear,-0.498071303331385,7.45266627161859e-05
Pithovirus sibericum,unclassified viruses,pv,protozoa,DNA,circular,-0.469491525423729,0.000208214145241488
Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004],Monodnaviria,PepLCLV,land plants,DNA,circular,-0.452951490356517,0.000363615318977291
Dickeya phage vB DsoM AD1,NA,HOU09,NA,NA,NA,-0.206545879602572,0.116408363064564
Human betaherpesvirus 5,Duplodnaviria,HHV5wtgp,human,DNA,linear,0.272355347749854,0.037222223845784
Sororoca virus,NA,FLA92,NA,RNA,linear,-0.500630594604571,7.84777749157664e-05
Orgyia leucostigma nucleopolyhedrovirus,NA,OLNV,NA,DNA,circular,-0.350146113383986,0.00682181956422191
Hubei narna-like virus 23,Riboviria,BWW39,invertebrates,RNA,linear,-0.441320864991233,0.000529915949753412
Propionibacterium phage PHL150M00,Duplodnaviria,ACJ78,bacteria,DNA,linear,0.0311513734658095,0.814419734631517
Carey Island virus,NA,FK858,NA,RNA,linear,-0.524314574314574,5.16776752804031e-05
Tobacco virus 1,Riboviria,AL352,land plants,RNA,linear,-0.507247223845704,5.26250303272513e-05
Flavobacterium phage vB FspS hattifnatt9-1,NA,HWC88,NA,NA,NA,-0.592752776154296,1.29523752351223e-06
Bat coronavirus CDPHE15/USA/2006,Riboviria,O191,vertebrates,RNA,linear,-0.537463471654004,1.56643647018399e-05
Nebraska virus,Riboviria,CsNVgp,vertebrates,RNA,linear,0.0950905902980713,0.472723546004073
Tomato leaf curl Rajasthan virus - [India:Rajasthan:2005],NA,D1Q94,NA,DNA,circular,-0.408708357685564,0.0014287318465482
Methanothermobacter phage psiM100,Duplodnaviria,psiM100p,archaea,DNA,linear,-0.29520748100526,0.0235684122633438
Madrid virus,Riboviria,CAU80,human:vertebrates,RNA,linear,-0.486499123319696,0.000114120026500667
Human parvovirus B19,Monodnaviria,B19V,human:vertebrates,DNA,linear,-0.498012857977791,7.46898607891894e-05
Changjiang hepe-like virus 1,Riboviria,BWV51,invertebrates,RNA,linear,-0.0852133255406195,0.520074757843587
Gordonia phage Yvonnetastic,Duplodnaviria,BJD55,bacteria,DNA,linear,0.477966101694915,0.000154868873945075
Antarctic penguin virus C,Riboviria,D1U18,vertebrates,RNA,linear,-0.07177089421391,0.588155552747019
crAssphage cr60 1,NA,KNV49,NA,NA,NA,-0.583459964932788,2.01934562520841e-06
Coconut foliar decay alphasatellite,NA,CFDVgp,NA,DNA,circular,-0.259146697837522,0.0477622112698879
Porcine hokovirus,Monodnaviria,D1R64,vertebrates,DNA,linear,-0.413267095265926,0.00125061907426101
Lactobacillus phage LpeD,Duplodnaviria,HWB32,bacteria,DNA,circular,-0.547691408533022,1.01498192993494e-05
Hardenbergia mosaic virus,Riboviria,HarMV,land plants,RNA,linear,-0.500058445353594,6.91701064946838e-05
Cutthroat trout virus,Riboviria,CuTV,vertebrates,RNA,linear,-0.122092343658679,0.355987643466727
